BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
AMALNER,Others,2024-03-01T10:44:37.193,Others,JALGAON,564690,"हवामान विभागाच्या अंदाजानुसार येत्या ५ दिवसात आपल्या अमळनेर तालुक्यात  वातावरण अंशतः ढगाळ राहील  पावसाची शक्यता आहे  .आजचे तापमान जास्तीत जास्त ३४ अंश सेल्सियस आणि कमीत कमी १९ अंश सेल्सियस, वाऱ्याचा वेग- ताशी १२ किलोमीटर राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद!","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,3,2024
JAMNER,Others,2024-03-01T14:15:49.33,Others,JALGAON,559950,"हवामान खात्याच्या अंदाजानुसार, आपल्या जामनेर तालुक्यात पुढील ५ दिवसात वातावरण अंशतः ढगाळ राहील पण उद्या हलक्या स्वरूपाच्या पावसाची शक्यता आहे. आजचे तापमान जास्तीत जास्त-  ३२ ℃ आणि कमीत कमी-  १७ ℃ राहील. वाऱ्याचा वेग - ११ किमी  प्रति तास. धन्यवाद !
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,3,2024
YAWAL,Others,2024-03-01T16:04:01.467,Others,JALGAON,559951,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      हवामान विभागाच्या अंदाजानुसार  यावल तालुक्यात,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, पावसाची शक्यता आहे. आजचे तापमान  कमाल -35 अंश सेल्सियस आणि किमान -18 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 13 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद ","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,3,2024
BODWAD,Others,2024-03-01T17:44:49.057,Others,JALGAON,559909,"हवामान विभागाच्या अंदाजानुसार  आपल्या तालुक्यात , या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता आहे .आजचे तापमान  कमाल -36 सेल्सियस आणि किमान 25अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 7 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,3,2024
AMALNER,Others,2024-03-01T19:56:11.82,Others,JALGAON,564692,"जळगाव जिल्हयातील अमळनेर तालुक्यातील हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ आहे, हलक्या पावसाची शक्यता आहे. 
तापमान = ३७ ०सें. - २० ०सें ; आद्रता = ४२ % - १६ % ; वाऱ्याचा वेग = ११ किमी/ताशी.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,1,3,2024
DHARANGAON,Others,2024-03-02T07:33:36.183,Others,JALGAON,579025,"हवामान विभागाच्या अंदाजानुसार ,आपल्या धरणगाव  तालुक्यात पुढील 5 दिवसांत   
 २,३,४ तारखेला वातावरण ढगाळ राहील  .  २ तारखेला पावसाची शक्यता आहे  . आजचे तापमान - कमाल -३४  अंश सेल्सियस आणि किमान-१८   अंश सेल्सियस  ,आद्रता ४०   %  वाऱ्याचा वेग - तासी १०    किलोमीटर आहे. हवामान विभागाच्या अंदाजानुसार पेरणी , पिकास पाणी ,खत व्यवस्थापन , तण व्यवस्थापन याचे योग्य नियोजन करावे धन्यवाद .! 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,3,2024
RAVER,Others,2024-03-02T11:50:59.103,Others,JALGAON,578858,"अधिक माहितीसाठी आपल्या जवळील तलाठी कार्यालयात भेट द्यावी धन्यवाद","FARMER ASKED ABOUT GOVERNMENT FOR CMV IN BANANA?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,3,2024
AMALNER,Others,2024-03-02T13:45:15.41,Others,JALGAON,578217,"पीएम किसान निधि योजना की अधिक जानकारी के लिए आप अपने ब्लॉक में नोडल ऑफिसर से संपर्क करें","FARMER ASKED ABOUT TO PM KISAN SAMMAN NIDHI YOJANA ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,2,3,2024
BHUSAWAL,Others,2024-03-02T13:55:50.85,Others,JALGAON,577746,"हवामान विभागाच्या अंदाजानुसार आपल्या भुसावळ तालुक्यात, या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, हलक्या ते मध्यम पावसाची शक्यता आहे. आजचे तापमान - कमाल - ३४ अंश सेल्सियस आणि किमान - १६ अंश सेल्सियस, वाऱ्याचा वेग - १९ किलोमीटर/ तास आहे. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,3,2024
PACHORA,Others,2024-03-02T15:30:12.017,Others,JALGAON,578041,"हवामान विभागाच्या अंदाजानुसार आपल्या  तालुक्यात,या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील,पावसाची शक्यता  नाही.आजचे तापमान  कमाल 35 अंश सेल्सियस आणि किमान -25 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 7 किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,2,3,2024
